Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
ALBALAD ALTAYEB HOTEL,فندق البلد الطيب الفندقية,Makkah,10001666,2-Star,Active,221989
ROYA AL ANDALUS COMPANY,شركة رؤيا الأندلس لتشغيل الفنادق شخص واحد,Madinah,10001560,2-Star,Active,234952
Upscale hotel hospitality company,شركة الضيافة الراقية الفندقية,Makkah,10002308,Unclassified/Other,Active,287615
Durrat albayan hotel,فندق درة البيان الفندقية,Makkah,10002425,Unclassified/Other,Active,293855
Tiba Rose Hotel,فندق طيبة روز,Madinah,10002235,Unclassified/Other,Active,235744
Dorrat Alsalheen,شقق درة الصالحين للوحدات السكنية المفروشة لصاحبها طارق صالح ريس,Makkah,10000682,2-Star,Active,268298
HOTEL THREE POINT ALAMEEN,نقاط ثلاثة الامين الفندقية,Madinah,10002211,1-Star,Active,235813
Mujahid bin Saeed bin Abdul Mohsen Al Sharif Hotel,فندق مجاهد بن سعيد بن عبدالمحسن الشريف للايواء ,Makkah,10009443,1-Star,Active,222495
GOLDEN ERGWAN HOTEL,فندق ارجوان الذهبي,Madinah,10001767,Unclassified/Other,Active,287515
Riyad Alzahraa Hotel,فندق رياض الزهراء الفندقية,Madinah,10001868,1-Star,Active,239135
RAZANA AL RAWDA HOTEL,شركة رزانه الفندقية,Makkah,10002336,1-Star,Active,239317
Crowne Plaza Madinah,فندق كراون بلازا المدينة,Madinah,10002117,Unclassified/Other,Active,235742
Kul Al Ayaim Hotels,فندق كل الأيام الفندقية,Makkah,10001530,1-Star,Active,289415
AL SHAKREEN GOLDEN TULIP,فندق الشاكرين جولدن توليب الفندقية,Madinah,10001493,3-Star,Active,228406
alolayan hotels,فندق قصر العليان للشقق الفندقية,Makkah,10002176,1-Star,Active,241139
njoom al madina,فندق نجوم المدينة الفندقية,Madinah,10002220,Unclassified/Other,Active,291180
Address Hotel Feelings Hotel,فندق عنوان المشاعر الفندقية,Makkah,10002288,1-Star,Active,220695
Mona Concorde Hotel,فندق منى كونكورد,Makkah,10002379,1-Star,Active,222059
Arjwan Alsalam Hotel,فندق ارجوان السلام,Madinah,10001637,Unclassified/Other,Active,235839
Mohamed saif hotel,فندق محمد سيف حسن اليماني الفندقية,Makkah,10002278,Unclassified/Other,Active,221956
Al Jazeera Trading Company,شركة تداول الجزيره للمقاولات والتنمية المحدودة,Makkah,10002074,4-Star,Active,219192
Al Fajr Al Badi Five Hotel Services Company,شركة الفجر البديع خمسة للخدمات الفندقيه,Makkah,10001398,3-Star,Active,250
Amjad AL deafah Hotel,فندق أمجاد الضيافة الفندقية,Makkah,10001750,1-Star,Active,221982
MALAK ALSAFWA HOTEL,فندق ملاك الصفوة,Makkah,10001845,1-Star,Active,239455
Al_ghufran Safwah,فندق صفوة الغفران الفندقية,Makkah,10001354,5-Star,Active,17445
Al Aa Al Mashaer Foundation,مؤسسة الآء المشاعر لحجز وحدات الضيافة,Makkah,10002185,2-Star,Active,290316
Sukoon Hotel,فندق سكون,Madinah,10002089,Unclassified/Other,Active,234495
Makarem Ajyad Makkah Hotel,فندق مكارم اجياد مكة,Makkah,10001021,5-Star,Active,220369
Danat Al Deyafh Hotel,فندق دانة الضيافة الفندقية,Makkah,10002412,1-Star,Active,288915
aljuhani ajyad hotel,شركة فندق الجهني أجياد,Makkah,10001872,1-Star,Active,244476
Dar Al Azhar Hotel Est,فندق دار الازهر الفندقية,Makkah,10001956,1-Star,Active,290142
gelnar alraqi,فندق جلنار الراقي للايواء السياحي,Madinah,10000801,Unclassified/Other,Active,254455
SALIH AL SULAMI,فندق الرحابة المكية لصاحبها صالح وصل السلمي,Makkah,10001780,1-Star,Active,243028
Violet Hotel,فندق فيوليت الفندقية,Makkah,10000998,3-Star,Active,44033
Manar Al Azhar Hotel,فندق منار الأزهر الفندقية,Makkah,10001918,2-Star,Active,218971
LAMAR HOTEL,فندق لمار أجياد الأول,Makkah,10001171,3-Star,Active,224928
Park inn By Radisson Makkah Aziziyah,فندق بارك إن راديسون العزيزية الفندقية,Makkah,10002386,Unclassified/Other,Active,220177
Hibba almuhajreen hotel,فندق هبة المهاجرين الفندقية,Makkah,10006268,1-Star,Active,244518
Jabal Omar Jumeirah hotel,فندق جبل عمر جميرا الفندقية,Makkah,10002521,5-Star,Active,219704
ORVANA Company,شركة أورفانا,Makkah,10009444,1-Star,Active,288695
City Hospitality Trading Company,شركة ضيافة المدينة للتجارة,Makkah,10009510,1-Star,Active,219287
Tilal Hotel,شركة تلال الفندقية,Makkah,10000423,5-Star,Active,218635
Dyar AL deafah Hotel,فندق ديار الضيافة,Makkah,10007618,1-Star,Active,218207
Safwat Al Hijaz Hotel,فندق صفوة الحجاز للخدمات الفندقيه,Makkah,10007617,1-Star,Active,241170
JAWHRAT MANAR HOTEL,فندق جوهرة منار الفندقية,Makkah,10007615,1-Star,Active,192737
REEF GLOBAL HOTEL . branch of REEF GLOBAL CO . itd,فندق ريف العالمية فرع شركة ريف العالمية المحدودة,Makkah,10007614,1-Star,Active,244696
Shorouk Al-Mask Hotel Company,شركة شروق المسك الفندقية,Makkah,10007605,1-Star,Active,237434
MEEZAB ANWAR MAKKAH HOTEL,شركة ميزاب الفندقية شركة شخص واحد,Makkah,10007644,1-Star,Active,242804
Al Bustan Albostan Hotel,فندق البستان الماسي الفندقية,Makkah,10007649,1-Star,Active,218001
JANNAH ALSHAB HOTEL,فندق جنة الشعب للخدمات الفندقيه,Makkah,10007673,1-Star,Active,288755
Visitors Hotel Two,مؤسسة الرواد للسياحة,Makkah,10007672,1-Star,Active,241196
Manazel AlZaereen,فندق منازل الزائرين الفندقية,Makkah,10007670,1-Star,Active,239364
Anwar Al Deafah,أنوار ضيافة الفندقية,Makkah,10007665,1-Star,Active,213712
Company ZOHRA ALMADAIN Hotel,شركة زهرة المدائن الفندقية شركة شخص واحد,Makkah,10007664,1-Star,Active,239319
KNOWS OUMAR HOTEL,فندق كنوز عمر الفندقية,Makkah,10007663,1-Star,Active,220178
