Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
MARINA ALDAHABI HOTEL,شركة مارينا الذهبي للخدمات الفندقية شخص واحد,Madinah,10010857,1-Star,Active,271662
Ruya Alandalus Company,شركة رؤيا الأندلس,Madinah,10012021,1-Star,Active,295715
alayniah hotel,فندق العينية الفندقية,Madinah,10005772,Unclassified/Other,Active,288195
WISAM AL MISK HOTEL,شركة وسام المسك الفندقية,Madinah,10012054,1-Star,Active,294216
Loujain alfadiy Hotel,مؤسسة فندق لجين الفضي الفندقية,Madinah,10010869,1-Star,Active,271735
HOTEL NAJMAT ALQASWA,فندق نجمة القصواء,Madinah,10010867,1-Star,Active,287996
Ruya Alandalus Company,شركة رؤيا الأندلس,Madinah,10012047,1-Star,Active,294346
AlAmana AlTaawuniya Company For Trading,شركة الأمانة التعاونية للتجارة,Madinah,10011979,1-Star,Active,294395
nuzul nujum alawali lildiyafa alsiyahi Establishme,مؤسسة نزل نجوم العوالي للضيافة السياحي,Madinah,10012295,Unclassified/Other,Active,299761
Afaq Al Salam Al Zahabi,شركة حياة الايمان للتشغيل والصيانة,Madinah,10011634,1-Star,Active,292935
AlAmana AlTaawuniya Company For Trading,شركة الأمانة التعاونية للتجارة,Madinah,10011632,Unclassified/Other,Active,292350
Raed Wan Hostel,نزل رائد وان,Madinah,10012127,Unclassified/Other,Active,295895
Tabah Silver Towers Hotel,فندق أبراج طابة الفضي الفندقية,Madinah,10007173,1-Star,Active,225028
Wafadah Alzahraa Hotel,شركة وفادة الزهراء للخدمات الفندقيه,Madinah,10007170,1-Star,Active,228597
Jay Den Hotel Company,شركة جاي دن الفندقية,Madinah,10006571,Unclassified/Other,Active,221991
Assaafa Hotel,شركة السعفة للخدمات الفندقيه,Madinah,10006554,Unclassified/Other,Active,235721
PARK ALMADINA SERVICED APARTMENT,شقق بارك المدينة للشقق المخدومة,Madinah,10006552,2-Star,Active,259435
Hotel Zawaya almasia,فندق زوايا الماسية للايواء السياحي,Madinah,10006547,1-Star,Active,235621
Sewar Al Thahab serviced apartments,شقق سوار الذهب للشقق المخدومة,Madinah,10006539,2-Star,Active,269065
Emaar Elite,فندق اعمار اليت المدينة الفندقية,Madinah,10006072,Unclassified/Other,Active,235781
E hotel,فندق إيي الفندقية,Madinah,10006522,Unclassified/Other,Active,242990
Fakamat alaqama for serviced apartments,شقق فخامة الاقامة للشقق المخدومة,Madinah,10007158,2-Star,Active,271795
Ajyal Almadinah Hotel 1,اجيال المدينة الفندقية,Madinah,10009378,1-Star,Active,235800
Durrat Al Hamra Serviced Apartments,شقق درة الحمراء المخدومة,Madinah,10009492,2-Star,Active,269778
Zowar international Hotel,فندق زوار العالمي,Madinah,10008777,3-Star,Active,227959
ALMARZAM HOTEL,شركة المرزم الفندقية,Madinah,10008776,1-Star,Active,230721
Al Mukhtara Plaza Hotel,فندق المختارة بلازا,Madinah,10009459,1-Star,Active,235791
Jawharat Sama Hotel,فندق جوهرة سما,Madinah,10008829,2-Star,Active,235747
Abrag Almarzam Hotel,شركة ابراج المرزم الفندقية,Madinah,10008824,1-Star,Active,223122
Al Manar Silver Hotel,المنارالفضي,Madinah,10008823,1-Star,Active,235751
Karam Al Khair Hotel,فندق كرم الخير الفندقية,Madinah,10008835,1-Star,Active,225222
